Target,Model Type,Model,PROCHECK
T1024-D0,AlphaFold,ranked_0,96.7|3.0|0.3|0.0
T1024-D0,AlphaFold,ranked_1,95.1|4.4|0.3|0.3
T1024-D0,AlphaFold,ranked_2,95.9|3.8|0.3|0.0
T1024-D0,AlphaFold,ranked_3,95.4|4.4|0.3|0.0
T1024-D0,AlphaFold,ranked_4,95.9|3.5|0.5|0.0
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,98.6|1.1|0.0|0.3
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,97.8|1.9|0.0|0.3
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,97.5|2.2|0.3|0.0
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,98.4|1.4|0.3|0.0
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,98.4|1.4|0.0|0.3
T1024-D0,two_best_supervised,Mod-2best_supervised_0,98.6|1.1|0.0|0.3
T1024-D0,two_best_supervised,Mod-2best_supervised_1,98.4|1.4|0.0|0.3
T1024-D0,two_best_supervised,Mod-2best_supervised_2,98.4|1.4|0.3|0.0
T1024-D0,two_best_supervised,Mod-2best_supervised_3,98.6|1.1|0.0|0.3
T1024-D0,two_best_supervised,Mod-2best_supervised_4,98.6|0.8|0.3|0.3
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_0,98.6|1.1|0.0|0.3
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_1,98.4|1.4|0.0|0.3
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_2,98.4|1.4|0.3|0.0
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_3,98.6|1.1|0.0|0.3
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_4,98.6|0.8|0.3|0.3
T1024-D1,AlphaFold,ranked_0,97.7|2.3|0.0|0.0
T1024-D1,AlphaFold,ranked_1,98.2|1.8|0.0|0.0
T1024-D1,AlphaFold,ranked_2,98.8|1.2|0.0|0.0
T1024-D1,AlphaFold,ranked_3,97.7|2.3|0.0|0.0
T1024-D1,AlphaFold,ranked_4,98.2|1.8|0.0|0.0
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,99.4|0.6|0.0|0.0
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,99.4|0.6|0.0|0.0
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,98.8|1.2|0.0|0.0
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,99.4|0.6|0.0|0.0
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,99.4|0.6|0.0|0.0
T1024-D1,two_best_supervised,Mod-2best_supervised_0,99.4|0.6|0.0|0.0
T1024-D1,two_best_supervised,Mod-2best_supervised_1,98.8|0.6|0.0|0.6
T1024-D1,two_best_supervised,Mod-2best_supervised_2,99.4|0.6|0.0|0.0
T1024-D1,two_best_supervised,Mod-2best_supervised_3,99.4|0.6|0.0|0.0
T1024-D1,two_best_supervised,Mod-2best_supervised_4,99.4|0.6|0.0|0.0
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_0,99.4|0.6|0.0|0.0
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_1,98.8|0.6|0.0|0.6
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_2,98.8|1.2|0.0|0.0
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_3,99.4|0.6|0.0|0.0
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_4,99.4|0.6|0.0|0.0
T1024-D2,AlphaFold,ranked_0,97.3|2.2|0.5|0.0
T1024-D2,AlphaFold,ranked_1,96.8|2.7|0.5|0.0
T1024-D2,AlphaFold,ranked_2,96.8|2.7|0.5|0.0
T1024-D2,AlphaFold,ranked_3,96.8|2.7|0.5|0.0
T1024-D2,AlphaFold,ranked_4,96.8|2.7|0.5|0.0
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,98.4|1.1|0.0|0.5
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,97.8|1.6|0.5|0.0
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,98.4|1.1|0.5|0.0
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,97.8|1.6|0.0|0.5
T1024-D2,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,97.8|1.6|0.5|0.0
T1024-D2,two_best_supervised,Mod-2best_supervised_0,97.8|1.6|0.0|0.5
T1024-D2,two_best_supervised,Mod-2best_supervised_1,97.8|1.6|0.5|0.0
T1024-D2,two_best_supervised,Mod-2best_supervised_2,98.4|1.1|0.0|0.5
T1024-D2,two_best_supervised,Mod-2best_supervised_3,98.4|1.1|0.5|0.0
T1024-D2,two_best_supervised,Mod-2best_supervised_4,97.3|2.2|0.0|0.5
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_0,98.4|1.1|0.5|0.0
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_1,97.8|1.6|0.5|0.0
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_2,97.8|1.1|0.0|1.1
T1024-D2,two_best_unsupervised,Mod-2best_unsupervised_3,98.4|1.1|0.5|0.0
