Model,PROCHECK
Mod-2best_unsupervised_0.pdb,96.2|2.5|0.6|0.6
Mod-2best_unsupervised_1.pdb,92.5|5.7|1.3|0.6
Mod-2best_unsupervised_2.pdb,97.5|1.9|0.6|0.0
Mod-2best_unsupervised_3.pdb,96.2|2.5|0.0|1.3
Mod-2best_unsupervised_4.pdb,97.5|1.9|0.0|0.6
