Target,Model Type,Model,PROSA
T1024-D0,AlphaFold,ranked_0,-7.22
T1024-D0,AlphaFold,ranked_1,-7.24
T1024-D0,AlphaFold,ranked_2,-7.44
T1024-D0,AlphaFold,ranked_3,-6.87
T1024-D0,AlphaFold,ranked_4,-6.84
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-6.95
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-7.01
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-6.79
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-7.06
T1024-D0,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-6.71
T1024-D0,two_best_supervised,Mod-2best_supervised_0,-7.05
T1024-D0,two_best_supervised,Mod-2best_supervised_1,-7.06
T1024-D0,two_best_supervised,Mod-2best_supervised_2,-7.15
T1024-D0,two_best_supervised,Mod-2best_supervised_3,-7.05
T1024-D0,two_best_supervised,Mod-2best_supervised_4,-7.27
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_0,-7.05
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_1,-7.06
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_2,-7.15
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_3,-7.05
T1024-D0,two_best_unsupervised,Mod-2best_unsupervised_4,-7.27
T1024-D1,AlphaFold,ranked_0,-5.03
T1024-D1,AlphaFold,ranked_1,-5.22
T1024-D1,AlphaFold,ranked_2,-5.11
T1024-D1,AlphaFold,ranked_3,-5.06
T1024-D1,AlphaFold,ranked_4,-4.95
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_0,-5.19
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_1,-5.11
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_2,-5.15
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_3,-5.1
T1024-D1,five_ranked_unsupervised,Mod-5ranked_unsupervised_4,-5.17
T1024-D1,two_best_supervised,Mod-2best_supervised_0,-5.11
T1024-D1,two_best_supervised,Mod-2best_supervised_1,-5.11
T1024-D1,two_best_supervised,Mod-2best_supervised_2,-5.14
T1024-D1,two_best_supervised,Mod-2best_supervised_3,-5.12
T1024-D1,two_best_supervised,Mod-2best_supervised_4,-5.12
T1024-D1,two_best_unsupervised,Mod-2best_unsupervised_0,-5.11
